categorie,partenaire,nom_commune,description,url_facebook,url_website
LIBRAIRIE_JEUX_PUERICULTURE,PARTY-PI,NOUMEA,Une pyjama party sous nos tipis est une expérience magique avec 10 thèmes différents,https://www.facebook.com/p/Partypi-100063575500203/,
LIBRAIRIE_JEUX_PUERICULTURE,PETIT D’HOMME,NOUMEA,"Tout l'univers enfants de 0 à 8 ans ! Bons plans, nouveautés, promos, astuces et conseils",https://www.facebook.com/petitdhommenoumea/?locale=fr_FR,
HIGH-TECH,ARA SOUND,NOUMEA,,,
HIGH-TECH,COMPU SYSTEM,NOUMEA,Seul Centre de Services Agréé Apple en Nouvelle-Calédonie (SAV). Revendeur Agréé Apple,https://www.facebook.com/CompusystemsNC/,
HIGH-TECH,DARTY,"NOUMEA,POUEMBOUT","Vente de produits électroménager, multimédia, micro-informatique.",https://www.facebook.com/dartynouvellecaledonie/?locale=fr_FR,
HIGH-TECH,DJILO MULTIMÉDIA,NOUMEA,"Accessoires GSM , etuis , coques , housses , film de protection , chargeurs , cables , cartes micro",https://www.facebook.com/djilomultimedia,
HIGH-TECH,ISTORE,NOUMEA,Votre unique APPLE Premium Reseller en Nouvelle-Calédonie !,https://www.facebook.com/iStoreNc/,
HIGH-TECH,PANASONIC,NOUMEA,"Boutique spécialisée dans la vente de téléphones, tablettes, écouteurs et accessoires. 📱⌚️",https://www.facebook.com/people/PanaShop/61554893402929/?_rdr,
HIGH-TECH,PHOTO DISCOUNT / MEDIASTORE,"NOUMEA,KONE",Tout l’univers de l’impression Numérique,https://www.facebook.com/PhotoDiscount98/,
HIGH-TECH,SOUND CITY NC,NOUMEA,,https://www.facebook.com/souncitync/,
